LLLRLRLRLLRRRLRRRLRRRLLLRLRLLRRLLRRLRLRLLRLRLRRLLRRRLRLLRRLRRRLRRLLLRRRLRRRLRRRLLLLRRLRRRLRLRRRLRRLLRLRLRRRLRRRLRRLRRRLLLLLLRLRRRLLLLRLRRRLRRRLRLRRLRLRLRLRLRRRLLRRLRLRRLRRLRRLLRLLLRRLRLLRRLRLRRLRRRLRRLLRLRLRLRRLLRLLRRLLLRLRLRRRLRRLLRRRLRLRLRRLLRLRLRLRRLRLRLRRLRRLLRRLRRRLRRRLLLRRRR

MQF = (DDG, LSH)
QJP = (PCT, XKJ)
JXF = (PMG, NBN)
JCK = (QCD, NRG)
LPD = (NTM, NTM)
DLN = (TXM, QRG)
MTG = (KGC, DMM)
KFV = (FXH, QLX)
SCJ = (HQH, XSD)
JKJ = (PMX, MHH)
SJK = (JXM, GRQ)
CJZ = (DPF, RMT)
QXM = (HGC, SMX)
XJS = (NRV, CCL)
QLB = (RCH, QVQ)
KDB = (QKT, BJB)
FCX = (DXG, SGQ)
PCT = (DXR, PTS)
MGJ = (FKF, HNG)
VBN = (RBK, JPL)
TRH = (SRT, VJV)
PGK = (SNP, QLP)
XVK = (KFK, QQC)
SXC = (XTB, DPQ)
HNG = (VXF, MVH)
QHT = (TTD, LBH)
LMK = (QQT, QTP)
DXR = (KCT, KQS)
FSA = (RXT, BLP)
GHK = (JMM, VBN)
DMM = (VQM, LTG)
FBQ = (FSV, GHJ)
KCN = (QVR, TDG)
KBF = (XNM, HBL)
KJP = (FKG, CJZ)
JLH = (CKG, XLV)
RJX = (KKN, RJH)
PFS = (BVC, SXR)
DHM = (HXV, FRV)
KFK = (PLL, GQC)
CNB = (KNS, HVP)
DDG = (QTS, VRJ)
QVT = (JCK, DJQ)
LRB = (TXD, MPR)
DMS = (QVD, MFS)
PMJ = (LNN, NPJ)
BXD = (MLL, QKQ)
DGF = (FMX, PKP)
RHQ = (RJH, KKN)
MRG = (TNN, LLX)
BBM = (VFP, VGF)
PLP = (BBK, KFX)
RSN = (SBN, DQF)
XTP = (HMT, XNV)
LLX = (KBF, TDV)
KHR = (QGL, NCM)
PFB = (SXR, BVC)
NKP = (JTF, BJH)
RPH = (RSN, VBM)
HBL = (LVT, JXF)
CBC = (LRB, QGN)
FXH = (GCH, KBD)
QTF = (KVL, DLS)
RPQ = (FJB, RMD)
SLD = (MSH, NSN)
PXF = (QXM, HDF)
QBJ = (RDQ, DJH)
QPH = (RKJ, CSC)
TVF = (JMC, MTV)
MJM = (DLM, BQS)
XQV = (LCD, QCL)
KQH = (SJK, BPR)
CSC = (BLD, PDP)
BLP = (XVK, LJB)
BBK = (DJT, LLJ)
PSH = (GQH, RBQ)
RMD = (XQV, KFT)
TJJ = (QLV, HPG)
STS = (BSB, TMP)
FPN = (TCK, GLD)
JPF = (VCS, CMQ)
NVX = (TLD, GMD)
XLV = (LKV, QNK)
GSF = (CKS, BVB)
QHR = (KTV, KPG)
JRX = (FPN, DTC)
KGC = (VQM, LTG)
SSK = (NHP, NHP)
GLN = (RMX, NGG)
NPJ = (QRV, KTB)
PCP = (XSF, BPL)
JTF = (LSL, BHB)
TDV = (HBL, XNM)
FKV = (JVF, HKK)
GSG = (QJP, CLF)
QNK = (XNQ, CGQ)
RQT = (QVQ, RCH)
XNT = (RKM, XRV)
JMM = (RBK, JPL)
LSL = (NGH, KCN)
QLQ = (TLV, KDN)
KXR = (KRH, KRH)
QLV = (GSR, BQV)
PMG = (LPH, XFB)
VNF = (LVQ, HHG)
CSS = (RKK, RQN)
HGR = (PVX, LFX)
QGN = (MPR, TXD)
XNQ = (GTJ, LXQ)
QQC = (GQC, PLL)
CKR = (KQH, HQD)
TLD = (JLJ, VFL)
XSD = (TTQ, LDQ)
FXF = (BXS, LMQ)
ZZZ = (QBJ, MJJ)
HPG = (GSR, BQV)
LJC = (RNF, FNK)
CCL = (DXF, HRM)
FQR = (QBF, CLH)
GHJ = (MPS, NRB)
LLJ = (NVX, BTR)
MCQ = (RTG, CTK)
PLL = (DJD, FTV)
BLD = (XGL, NDH)
MLL = (NHV, PPJ)
KDN = (LLS, DLN)
KKN = (DCC, CCH)
FHB = (TCJ, VLF)
HCC = (RDN, TRJ)
TGV = (TKF, CFG)
TKB = (SVJ, KHH)
QDN = (RXG, PFF)
GQN = (RKT, NKK)
FLV = (TLV, KDN)
KTV = (LKK, VGH)
XHQ = (JLX, SNS)
MHN = (DHV, KMD)
DLD = (SSQ, LDK)
DKD = (CKR, JPC)
SRD = (KPP, LFS)
LVT = (PMG, NBN)
KPP = (FLQ, XTX)
BQV = (GLN, NQG)
BSB = (KHR, FGL)
HGC = (DBX, QTF)
DSF = (RBQ, GQH)
GRQ = (MVQ, RVP)
JGT = (SFN, GQT)
HDF = (SMX, HGC)
QBF = (VKF, XHQ)
QKM = (JTV, LPP)
LJB = (QQC, KFK)
NTH = (QQV, MHS)
QTX = (FMX, PKP)
HCQ = (FFT, CBC)
XKJ = (DXR, PTS)
BHH = (KPP, LFS)
GRH = (QLQ, FLV)
FNX = (MJX, PFZ)
HQN = (CKS, BVB)
SJV = (CGF, VKD)
RDL = (QJV, MLX)
MFR = (DMF, CFD)
LPF = (SRD, BHH)
HCP = (MPV, NVL)
KNS = (VCD, LJL)
CDX = (LLX, TNN)
SGS = (KMC, RQK)
HQS = (NKP, FRN)
QVD = (VML, QHT)
NRG = (LDS, SCH)
BVB = (HCP, NVM)
RBK = (QLB, RQT)
MPV = (CGR, TSC)
VFP = (JXP, QCM)
QFS = (DFQ, FHB)
FTK = (LSH, DDG)
TJH = (KPL, KTR)
HQF = (MQF, FTK)
FGX = (HVP, KNS)
DDK = (NTM, JNC)
BJC = (SQK, RGB)
HVP = (VCD, LJL)
LTG = (RMV, CJC)
BNR = (CSS, RBN)
GQT = (LCN, DTK)
XSF = (BGT, FCN)
SSQ = (KTL, JMR)
RNH = (BXH, BXH)
FTV = (CMM, PBL)
QRK = (TSF, QFS)
CLR = (NFS, PGK)
SRJ = (PFV, SHX)
FQT = (QKT, BJB)
FRN = (BJH, JTF)
RCN = (NRV, CCL)
QTM = (CKR, JPC)
JHT = (HRC, NVR)
KVB = (KRH, KKT)
HJG = (GHN, GHN)
RNF = (QFF, CKV)
PTT = (VNT, FNX)
